행정구역별,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월
서울특별시,1965581,1960121,1952712,1946442,1941251,1935739,1930808,1925906,1921230,1916464,1910366,1904547,1897158,1891743,1885368,1879714,1874078,1868557,1863866,1859165,1854997,1850091,1844097,1838505,1831758,1825726,1819726,1814799,1809751,1804886,1800126,1794391,1788224,1781976,1775795,1769089,1760955,1754655,1749259,1743477,1738187,1733475,1727735,1721632,1715797,1708584,1701906,1695519,1688995,1684484,1678824,1672475,1667143,1662138,1656132,1650750,1644169,1637323,1630335,1623118,1615110,1608176,1601209,1594122,1587584,1581579,1575779,1570140,1563667,1557642,1551727,1545489,1539762,1535853,1530156,1524047,1518100,1512667,1507474,1502067,1496657,1491906,1487057,1482264,1476756,1471918,1465483,1458566,1452101,1446615,1440617,1433727,1427296,1419657,1412590,1405611,1397407,1390997,1384744,1378768,1373379,1369098,1364552,1359804,1355035,1350243,1345004,1339819,1334775,1333136,1329774,1325463,1321454,1317724,1313781,1310648,1306526,1302436,1298524
경기도,2872746,2870184,2864705,2860995,2858868,2855972,2854169,2851304,2846774,2842532,2836241,2832378,2825542,2819937,2814528,2810258,2806471,2805314,2803083,2799444,2794865,2790212,2782841,2777854,2771044,2764258,2760323,2758151,2755751,2754000,2752042,2749357,2745057,2741333,2735764,2730973,2724698,2720781,2716196,2712303,2710847,2709253,2708472,2708326,2704893,2699928,2695406,2690625,2684074,2679660,2674842,2669962,2666684,2663570,2659804,2657149,2653026,2647291,2642758,2637136,2632441,2629074,2624086,2619917,2617574,2615518,2614162,2613201,2608017,2604369,2599251,2594752,2589260,2584801,2578449,2574576,2572405,2568955,2566918,2564215,2558762,2552727,2545991,2540452,2532255,2526402,2520516,2515560,2511175,2507564,2504370,2500421,2495163,2487928,2480811,2474198,2468566,2464293,2459142,2455889,2451153,2448445,2445733,2442775,2436672,2430833,2425802,2420932,2415037,2409547,2403748,2399514,2395846,2393017,2389436,2386084,2381758,2377538,2372541
인천광역시,635375,634611,633253,632090,630899,629633,628911,627849,626733,625975,625090,624197,622381,621269,619651,618811,617647,616225,615087,613790,612793,611911,610833,610024,608502,606848,605338,604417,603460,602670,601934,600928,599519,598500,597499,596288,594398,592953,591338,590321,589487,588399,587397,586388,585172,583562,582416,581003,579153,577475,575605,573860,572515,571079,569578,568195,566301,564744,563205,561488,560193,558708,556712,555439,554155,552711,551181,549474,547694,546282,545050,543625,542239,540659,538644,536962,535596,534164,532915,531418,529891,528494,527087,525651,523374,521038,518543,516654,514733,512949,511327,509401,507524,505853,504234,502796,500764,499096,497701,496124,494799,493609,492644,491807,491114,490421,489542,488515,487100,486290,485455,484722,483869,483204,482815,482845,482361,481952,481797
강원도,319964,318662,319017,318830,318088,317039,316204,315348,314655,314033,313251,312466,310973,309673,310292,309664,308928,308001,307240,306238,305616,305043,304273,303490,302166,300892,300586,300317,299730,299300,298509,297734,296733,296059,295232,294348,292933,291927,291267,290905,289968,289391,288500,287796,287123,286328,285541,284782,283312,282289,281564,280597,279731,279020,277961,277149,276339,275320,274546,273672,272481,271219,270531,269630,268813,267925,267008,266173,265354,264559,263820,262724,261467,260316,259581,259150,258416,257732,256984,256239,255514,254770,254166,253355,251977,250669,249646,248731,247976,247405,246809,246100,245427,244693,243962,243106,241918,241141,240411,239598,238861,238274,237601,237038,236569,236058,235508,234856,234004,233437,232764,232326,231719,231304,230663,230145,229834,229273,228810
전라도,1181100,1177577,1174897,1172558,1170329,1167746,1165572,1163010,1160610,1158494,1156451,1154289,1150108,1145343,1142544,1140166,1137583,1135008,1132432,1129797,1127509,1125079,1122603,1120746,1116931,1112957,1109894,1107767,1105192,1103050,1100506,1097597,1094510,1091734,1089105,1086441,1081972,1078094,1074755,1072097,1069642,1067381,1064528,1061845,1058734,1055352,1052841,1050184,1045689,1041648,1037674,1034228,1031478,1028488,1025272,1021798,1018903,1015470,1012432,1009327,1004721,999853,995727,992487,989396,986203,982847,979390,975804,972863,969768,966697,961925,957330,953084,949856,946658,943658,940396,937083,934005,930978,928042,925196,919909,914852,910410,906766,903113,899906,896738,893238,889821,886208,882840,880001,875582,871979,867738,864466,861676,859066,856450,853625,850912,848064,845771,843130,839658,836323,832695,829984,827401,825211,822541,820236,818083,816038,814247
경상도,2788242,2781592,2772485,2766141,2760527,2754247,2748513,2742544,2736355,2730958,2725265,2719043,2710357,2702855,2695362,2688509,2682352,2676744,2670977,2664840,2659318,2654081,2647722,2642075,2634450,2626731,2619575,2614766,2609938,2605468,2600614,2594208,2587844,2582075,2576196,2569509,2560879,2553702,2546714,2541051,2535784,2531047,2524648,2519324,2512888,2505235,2499153,2492161,2483824,2475392,2466616,2458708,2452545,2446768,2440083,2433333,2426586,2418796,2412607,2405074,2397187,2387851,2378616,2370953,2364512,2357610,2350785,2344395,2336551,2330356,2324773,2317362,2309299,2300725,2292028,2285006,2278123,2271523,2264915,2257808,2250356,2243228,2236244,2228564,2218835,2208954,2198987,2190611,2181488,2174651,2167470,2159314,2151932,2143191,2135121,2127885,2118765,2110189,2101057,2093651,2086709,2080825,2075121,2068751,2062569,2056330,2050773,2044693,2037390,2029872,2022815,2017184,2011900,2006763,2000677,1995199,1990417,1986056,1981996
충청도,1156992,1154857,1152583,1151127,1149791,1147954,1146164,1144526,1143137,1141848,1140121,1137968,1134626,1131880,1129912,1128397,1126592,1124711,1122728,1120332,1118069,1115570,1112787,1110040,1106573,1101955,1099176,1097284,1095445,1093761,1091456,1089022,1086272,1083854,1081463,1078410,1074688,1071627,1069210,1067268,1065531,1063827,1061615,1059712,1057554,1055171,1053232,1050897,1047559,1045088,1042001,1039541,1036612,1034013,1031545,1029468,1027105,1024216,1021660,1018590,1015528,1011897,1008750,1005832,1003544,1000814,998125,995705,992679,990326,987931,984981,981337,977815,974592,972121,969525,966621,963761,960878,957937,954902,952116,948743,944472,940132,936556,933160,930188,927684,925033,922019,919213,915525,912193,908891,904722,901473,898035,895542,893116,890874,888647,886346,883759,881286,878881,876508,873296,871126,868864,866564,864281,862381,860267,858693,857410,855853,854369
제주특별자치도,142854,142844,142751,142704,142553,142343,142284,142229,142195,142110,142005,141861,141687,141691,141644,141574,141398,141343,141161,141135,141056,140994,140974,140865,140800,140805,140834,140885,140792,140700,140710,140639,140563,140609,140508,140496,140328,140503,140535,140667,140680,140615,140514,140548,140377,140155,140058,139999,139779,139801,139609,139469,139362,139195,139125,139267,139117,139119,139072,138983,139012,138952,138878,138782,138650,138489,138444,138371,138164,137913,137692,137438,137063,136806,136507,136351,136199,135922,135739,135491,135232,134916,134647,134413,133828,133625,133143,132934,132560,132344,132182,132027,131745,131446,131156,130958,130585,130556,130257,130044,129664,129559,129505,129254,129059,128858,128645,128356,127985,127907,127594,127406,127227,127030,126863,126713,126481,126215,125949
총 계,11062854,11040448,11012403,10990887,10972306,10950673,10932625,10912716,10891689,10872414,10848790,10826749,10792832,10764391,10739301,10717093,10695049,10675903,10656574,10634741,10614223,10592981,10566130,10543599,10512224,10480172,10455452,10438386,10420059,10403835,10385897,10363876,10338722,10316140,10291562,10265554,10230851,10204242,10179274,10158089,10140126,10123388,10103409,10085571,10062538,10034315,10010553,9985170,9952385,9925837,9896735,9868840,9846070,9824271,9799500,9777109,9751546,9722279,9696615,9667388,9636673,9605730,9574509,9547162,9524228,9500849,9478331,9456849,9427930,9404310,9380012,9353068,9322352,9294305,9263041,9238069,9215022,9191242,9169102,9145199,9118354,9091921,9065350,9038638,9001406,8967590,8933284,8902982,8873334,8849118,8824546,8796247,8768121,8734501,8702907,8673446,8638309,8609724,8579085,8554082,8529357,8509750,8490253,8469400,8445689,8422093,8399926,8376809,8349245,8327638,8303709,8283163,8263697,8246634,8227043,8210563,8192870,8175361,8158233
